"","1","2","3","4","5","6","7","8","9"
"X.Intercept.","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"x2_house_age","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"x4_number_of_convenience_stores","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE"
"x5_latitude","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"x6_longitude","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"neighborhood","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"distance_to_mrt_category250m_500m","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"distance_to_mrt_category500m_750m","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"distance_to_mrt_category750m_1000m","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"distance_to_mrt_categoryover_1000m","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"model","1","2","3","4","5","6","7","8","9"
"RSS","33066.86","29299.74","26168.13","24813.29","24303.49","23941.24","23671.38","23485.49","23369.06"
"AdjR2","0.467","0.527","0.576","0.597","0.604","0.608","0.612","0.613","0.614"
"BIC","-196.597","-230.595","-261.988","-273.682","-274.716","-273.861","-271.794","-268.592","-264.431"
